,number,value,datetime_start,datetime_complete,duration,params_DIAsynprice_DIA_beta_win,params_DIAsynprice_DIA_stop_loss,params_DIAsynprice_DIA_trade_freq,params_DIAsynprice_DIA_z_entry,params_DIAsynprice_DIA_z_exit,params_DIAsynprice_DIA_z_stop_scaler,params_DIAsynprice_DIA_z_win,params_QQQsynprice_QQQ_beta_win,params_QQQsynprice_QQQ_stop_loss,params_QQQsynprice_QQQ_trade_freq,params_QQQsynprice_QQQ_z_entry,params_QQQsynprice_QQQ_z_exit,params_QQQsynprice_QQQ_z_stop_scaler,params_QQQsynprice_QQQ_z_win,params_XLBsynprice_XLB_beta_win,params_XLBsynprice_XLB_stop_loss,params_XLBsynprice_XLB_trade_freq,params_XLBsynprice_XLB_z_entry,params_XLBsynprice_XLB_z_exit,params_XLBsynprice_XLB_z_stop_scaler,params_XLBsynprice_XLB_z_win,params_XLCsynprice_XLC_beta_win,params_XLCsynprice_XLC_stop_loss,params_XLCsynprice_XLC_trade_freq,params_XLCsynprice_XLC_z_entry,params_XLCsynprice_XLC_z_exit,params_XLCsynprice_XLC_z_stop_scaler,params_XLCsynprice_XLC_z_win,params_XLEsynprice_XLE_beta_win,params_XLEsynprice_XLE_stop_loss,params_XLEsynprice_XLE_trade_freq,params_XLEsynprice_XLE_z_entry,params_XLEsynprice_XLE_z_exit,params_XLEsynprice_XLE_z_stop_scaler,params_XLEsynprice_XLE_z_win,params_XLFsynprice_XLF_beta_win,params_XLFsynprice_XLF_stop_loss,params_XLFsynprice_XLF_trade_freq,params_XLFsynprice_XLF_z_entry,params_XLFsynprice_XLF_z_exit,params_XLFsynprice_XLF_z_stop_scaler,params_XLFsynprice_XLF_z_win,params_XLIsynprice_XLI_beta_win,params_XLIsynprice_XLI_stop_loss,params_XLIsynprice_XLI_trade_freq,params_XLIsynprice_XLI_z_entry,params_XLIsynprice_XLI_z_exit,params_XLIsynprice_XLI_z_stop_scaler,params_XLIsynprice_XLI_z_win,params_XLKsynprice_XLK_beta_win,params_XLKsynprice_XLK_stop_loss,params_XLKsynprice_XLK_trade_freq,params_XLKsynprice_XLK_z_entry,params_XLKsynprice_XLK_z_exit,params_XLKsynprice_XLK_z_stop_scaler,params_XLKsynprice_XLK_z_win,params_XLPsynprice_XLP_beta_win,params_XLPsynprice_XLP_stop_loss,params_XLPsynprice_XLP_trade_freq,params_XLPsynprice_XLP_z_entry,params_XLPsynprice_XLP_z_exit,params_XLPsynprice_XLP_z_stop_scaler,params_XLPsynprice_XLP_z_win,params_XLREsynprice_XLRE_beta_win,params_XLREsynprice_XLRE_stop_loss,params_XLREsynprice_XLRE_trade_freq,params_XLREsynprice_XLRE_z_entry,params_XLREsynprice_XLRE_z_exit,params_XLREsynprice_XLRE_z_stop_scaler,params_XLREsynprice_XLRE_z_win,params_XLUsynprice_XLU_beta_win,params_XLUsynprice_XLU_stop_loss,params_XLUsynprice_XLU_trade_freq,params_XLUsynprice_XLU_z_entry,params_XLUsynprice_XLU_z_exit,params_XLUsynprice_XLU_z_stop_scaler,params_XLUsynprice_XLU_z_win,params_XLVsynprice_XLV_beta_win,params_XLVsynprice_XLV_stop_loss,params_XLVsynprice_XLV_trade_freq,params_XLVsynprice_XLV_z_entry,params_XLVsynprice_XLV_z_exit,params_XLVsynprice_XLV_z_stop_scaler,params_XLVsynprice_XLV_z_win,params_XLYsynprice_XLY_beta_win,params_XLYsynprice_XLY_stop_loss,params_XLYsynprice_XLY_trade_freq,params_XLYsynprice_XLY_z_entry,params_XLYsynprice_XLY_z_exit,params_XLYsynprice_XLY_z_stop_scaler,params_XLYsynprice_XLY_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,-4.952225405954102,2025-06-21 01:27:44.962181,2025-06-21 01:27:45.593196,0 days 00:00:00.631015,,,,,,,,12.0,0.0225,3m,0.7,0.6,2.5,42.0,,,,,,,,,,,,,,,54.0,0.0225,4m,0.6,0.5,1.5,28.0,,,,,,,,,,,,,,,,,,,,,,28.0,0.025,5m,0.9,0.7,1.5,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,3,COMPLETE
1,1,-13.96401087572546,2025-06-21 01:27:45.634181,2025-06-21 01:27:47.427827,0 days 00:00:01.793646,62.0,0.03,2m,0.8,0.8,2.0,52.0,,,,,,,,16.0,0.0325,4m,1.0,0.6,1.5,12.0,28.0,0.02,2m,1.0,1.0,2.0,42.0,38.0,0.0375,3m,0.6,0.9,3.0,38.0,54.0,0.027500000000000004,1m,1.0,0.8,2.5,38.0,,,,,,,,52.0,0.0125,2m,0.6,0.8,2.5,10.0,,,,,,,,18.0,0.04,3m,0.8,0.7,2.0,14.0,48.0,0.035,1m,0.7,1.0,3.0,48.0,14.0,0.0125,2m,0.9,1.0,3.0,60.0,,,,,,,,0.5,9,COMPLETE
2,2,-2.552286529417447,2025-06-21 01:27:47.457364,2025-06-21 01:27:47.698630,0 days 00:00:00.241266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,0.015,2m,0.8,0.8,1.5,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,1,COMPLETE
3,3,-7.382853896371959,2025-06-21 01:27:47.716652,2025-06-21 01:27:48.324287,0 days 00:00:00.607635,56.0,0.027500000000000004,4m,0.7,0.7,3.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,0.0225,2m,1.0,0.6,3.0,52.0,50.0,0.045000000000000005,3m,0.6,0.5,1.5,40.0,0.35000000000000003,3,COMPLETE
4,4,-7.549081128535819,2025-06-21 01:27:48.343312,2025-06-21 01:27:50.285430,0 days 00:00:01.942118,22.0,0.0325,3m,0.5,0.6,2.5,38.0,50.0,0.025,2m,0.6,1.0,3.0,48.0,12.0,0.05,3m,0.9,0.8,2.5,20.0,24.0,0.0325,2m,0.5,0.9,2.5,44.0,48.0,0.0475,2m,0.9,0.8,2.0,16.0,10.0,0.045000000000000005,5m,1.0,0.9,1.5,32.0,,,,,,,,56.0,0.015,3m,0.7,0.9,1.5,40.0,,,,,,,,24.0,0.02,2m,1.0,0.6,1.5,38.0,,,,,,,,36.0,0.02,3m,1.0,0.8,2.5,46.0,64.0,0.04,1m,0.7,0.6,3.0,44.0,0.15000000000000002,10,COMPLETE
5,5,-24.059877208533415,2025-06-21 01:27:50.305795,2025-06-21 01:27:51.484354,0 days 00:00:01.178559,,,,,,,,42.0,0.035,2m,0.8,0.6,2.5,34.0,,,,,,,,16.0,0.02,5m,0.6,1.0,2.5,28.0,48.0,0.01,1m,0.8,0.6,1.5,60.0,10.0,0.0475,5m,0.8,0.9,2.5,20.0,,,,,,,,,,,,,,,,,,,,,,24.0,0.04,2m,0.6,0.9,3.0,26.0,40.0,0.02,1m,0.7,0.7,2.5,42.0,,,,,,,,,,,,,,,0.25,6,COMPLETE
6,6,-9.778399432733352,2025-06-21 01:27:51.507151,2025-06-21 01:27:52.151047,0 days 00:00:00.643896,,,,,,,,,,,,,,,32.0,0.027500000000000004,3m,0.6,0.6,2.5,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,0.0425,2m,1.0,0.6,3.0,16.0,,,,,,,,,,,,,,,46.0,0.035,5m,0.9,0.5,1.5,30.0,,,,,,,,,,,,,,,0.25,3,COMPLETE
7,7,-9.483429059488524,2025-06-21 01:27:52.169209,2025-06-21 01:27:54.193636,0 days 00:00:02.024427,16.0,0.02,3m,0.8,0.8,3.0,56.0,14.0,0.03,2m,0.9,0.5,2.0,56.0,62.0,0.0375,2m,0.9,1.0,1.5,14.0,,,,,,,,62.0,0.027500000000000004,1m,1.0,1.0,2.5,44.0,,,,,,,,50.0,0.0325,1m,0.8,0.9,1.5,22.0,16.0,0.0175,5m,0.5,1.0,1.5,54.0,,,,,,,,26.0,0.0375,2m,0.8,0.6,1.5,18.0,50.0,0.05,4m,0.9,0.6,1.5,34.0,54.0,0.01,2m,0.8,0.7,3.0,16.0,62.0,0.015,3m,0.5,0.7,3.0,12.0,0.1,10,COMPLETE
8,8,-3.397296954832704,2025-06-21 01:27:54.215281,2025-06-21 01:27:54.820977,0 days 00:00:00.605696,36.0,0.015,2m,0.7,0.8,3.0,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.0,0.0375,3m,0.5,0.6,2.5,28.0,,,,,,,,,,,,,,,30.0,0.0125,3m,0.5,0.9,2.5,50.0,,,,,,,,,,,,,,,,,,,,,,0.05,3,COMPLETE
9,9,-11.09760892207947,2025-06-21 01:27:54.839504,2025-06-21 01:27:55.270700,0 days 00:00:00.431196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,0.04,1m,0.6,0.8,2.0,16.0,,,,,,,,18.0,0.0225,4m,0.5,0.7,2.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,2,COMPLETE
