,number,value,datetime_start,datetime_complete,duration,params_DIAsynprice_DIA_beta_win,params_DIAsynprice_DIA_stop_loss,params_DIAsynprice_DIA_trade_freq,params_DIAsynprice_DIA_z_entry,params_DIAsynprice_DIA_z_exit,params_DIAsynprice_DIA_z_stop_scaler,params_DIAsynprice_DIA_z_win,params_QQQsynprice_QQQ_beta_win,params_QQQsynprice_QQQ_stop_loss,params_QQQsynprice_QQQ_trade_freq,params_QQQsynprice_QQQ_z_entry,params_QQQsynprice_QQQ_z_exit,params_QQQsynprice_QQQ_z_stop_scaler,params_QQQsynprice_QQQ_z_win,params_XLBsynprice_XLB_beta_win,params_XLBsynprice_XLB_stop_loss,params_XLBsynprice_XLB_trade_freq,params_XLBsynprice_XLB_z_entry,params_XLBsynprice_XLB_z_exit,params_XLBsynprice_XLB_z_stop_scaler,params_XLBsynprice_XLB_z_win,params_XLCsynprice_XLC_beta_win,params_XLCsynprice_XLC_stop_loss,params_XLCsynprice_XLC_trade_freq,params_XLCsynprice_XLC_z_entry,params_XLCsynprice_XLC_z_exit,params_XLCsynprice_XLC_z_stop_scaler,params_XLCsynprice_XLC_z_win,params_XLEsynprice_XLE_beta_win,params_XLEsynprice_XLE_stop_loss,params_XLEsynprice_XLE_trade_freq,params_XLEsynprice_XLE_z_entry,params_XLEsynprice_XLE_z_exit,params_XLEsynprice_XLE_z_stop_scaler,params_XLEsynprice_XLE_z_win,params_XLFsynprice_XLF_beta_win,params_XLFsynprice_XLF_stop_loss,params_XLFsynprice_XLF_trade_freq,params_XLFsynprice_XLF_z_entry,params_XLFsynprice_XLF_z_exit,params_XLFsynprice_XLF_z_stop_scaler,params_XLFsynprice_XLF_z_win,params_XLIsynprice_XLI_beta_win,params_XLIsynprice_XLI_stop_loss,params_XLIsynprice_XLI_trade_freq,params_XLIsynprice_XLI_z_entry,params_XLIsynprice_XLI_z_exit,params_XLIsynprice_XLI_z_stop_scaler,params_XLIsynprice_XLI_z_win,params_XLKsynprice_XLK_beta_win,params_XLKsynprice_XLK_stop_loss,params_XLKsynprice_XLK_trade_freq,params_XLKsynprice_XLK_z_entry,params_XLKsynprice_XLK_z_exit,params_XLKsynprice_XLK_z_stop_scaler,params_XLKsynprice_XLK_z_win,params_XLPsynprice_XLP_beta_win,params_XLPsynprice_XLP_stop_loss,params_XLPsynprice_XLP_trade_freq,params_XLPsynprice_XLP_z_entry,params_XLPsynprice_XLP_z_exit,params_XLPsynprice_XLP_z_stop_scaler,params_XLPsynprice_XLP_z_win,params_XLREsynprice_XLRE_beta_win,params_XLREsynprice_XLRE_stop_loss,params_XLREsynprice_XLRE_trade_freq,params_XLREsynprice_XLRE_z_entry,params_XLREsynprice_XLRE_z_exit,params_XLREsynprice_XLRE_z_stop_scaler,params_XLREsynprice_XLRE_z_win,params_XLUsynprice_XLU_beta_win,params_XLUsynprice_XLU_stop_loss,params_XLUsynprice_XLU_trade_freq,params_XLUsynprice_XLU_z_entry,params_XLUsynprice_XLU_z_exit,params_XLUsynprice_XLU_z_stop_scaler,params_XLUsynprice_XLU_z_win,params_XLVsynprice_XLV_beta_win,params_XLVsynprice_XLV_stop_loss,params_XLVsynprice_XLV_trade_freq,params_XLVsynprice_XLV_z_entry,params_XLVsynprice_XLV_z_exit,params_XLVsynprice_XLV_z_stop_scaler,params_XLVsynprice_XLV_z_win,params_XLYsynprice_XLY_beta_win,params_XLYsynprice_XLY_stop_loss,params_XLYsynprice_XLY_trade_freq,params_XLYsynprice_XLY_z_entry,params_XLYsynprice_XLY_z_exit,params_XLYsynprice_XLY_z_stop_scaler,params_XLYsynprice_XLY_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,-1.5493886169434665,2025-06-21 00:56:00.103083,2025-06-21 00:56:00.654714,0 days 00:00:00.551631,,,,,,,,320.0,0.05,6m,1.0,0.5,1.5,320.0,,,,,,,,296.0,0.025,10m,1.0,0.7,2.5,248.0,,,,,,,,,,,,,,,344.0,0.05,5m,0.9,0.7,1.5,504.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,3,COMPLETE
1,1,-40.672993801341825,2025-06-21 00:56:00.676740,2025-06-21 00:56:02.159724,0 days 00:00:01.482984,488.0,0.05,7m,1.0,0.9,2.5,512.0,40.0,0.05,1m,0.5,0.5,1.5,416.0,216.0,0.025,8m,0.6,0.7,3.0,712.0,152.0,0.025,9m,0.6,0.9,2.5,1016.0,112.0,0.05,3m,0.9,0.9,2.0,288.0,984.0,0.025,6m,0.8,0.9,2.5,592.0,576.0,0.025,10m,0.6,0.9,1.5,384.0,808.0,0.05,7m,1.0,0.6,2.5,1008.0,176.0,0.05,9m,0.7,0.7,2.5,464.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,9,COMPLETE
2,2,-2.5961819250933043,2025-06-21 00:56:02.184512,2025-06-21 00:56:03.624482,0 days 00:00:01.439970,,,,,,,,496.0,0.05,7m,1.0,0.8,2.5,672.0,368.0,0.05,8m,0.6,0.8,3.0,376.0,432.0,0.05,3m,0.8,1.0,2.0,280.0,584.0,0.025,8m,0.9,0.5,2.5,376.0,920.0,0.025,9m,0.6,0.6,3.0,608.0,96.0,0.05,9m,0.6,0.8,1.5,560.0,384.0,0.05,9m,0.9,0.8,2.0,384.0,,,,,,,,,,,,,,,488.0,0.05,7m,0.5,1.0,2.0,352.0,888.0,0.05,5m,1.0,0.7,1.5,456.0,,,,,,,,0.15000000000000002,9,COMPLETE
3,3,-1.2493186868642305,2025-06-21 00:56:03.646160,2025-06-21 00:56:04.288739,0 days 00:00:00.642579,144.0,0.05,4m,0.5,0.6,2.0,632.0,,,,,,,,848.0,0.025,6m,0.7,0.9,1.5,672.0,264.0,0.05,10m,1.0,0.5,2.5,720.0,,,,,,,,600.0,0.05,10m,0.7,0.9,2.0,224.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,4,COMPLETE
4,4,-3.503895958842933,2025-06-21 00:56:04.309052,2025-06-21 00:56:05.669570,0 days 00:00:01.360518,,,,,,,,864.0,0.05,2m,1.0,0.7,3.0,168.0,344.0,0.05,4m,0.5,0.7,3.0,600.0,392.0,0.025,5m,1.0,0.7,1.5,144.0,,,,,,,,112.0,0.025,3m,0.6,0.5,3.0,248.0,,,,,,,,,,,,,,,88.0,0.025,8m,1.0,0.6,2.0,848.0,216.0,0.025,10m,0.9,0.6,2.5,480.0,816.0,0.05,7m,1.0,0.9,3.0,1008.0,656.0,0.05,6m,0.5,0.8,3.0,208.0,,,,,,,,0.4,8,COMPLETE
5,5,-5.176973180479864,2025-06-21 00:56:05.709629,2025-06-21 00:56:06.977907,0 days 00:00:01.268278,792.0,0.025,5m,1.0,0.8,2.5,528.0,,,,,,,,,,,,,,,,,,,,,,288.0,0.025,4m,0.7,0.6,2.0,912.0,800.0,0.025,10m,0.7,0.6,1.5,552.0,,,,,,,,,,,,,,,936.0,0.025,1m,0.5,0.9,2.5,976.0,,,,,,,,,,,,,,,1000.0,0.025,9m,1.0,0.5,2.0,320.0,224.0,0.025,8m,0.6,0.8,1.5,984.0,0.35000000000000003,6,COMPLETE
6,6,-2.8793937400290863,2025-06-21 00:56:07.026549,2025-06-21 00:56:07.848076,0 days 00:00:00.821527,,,,,,,,224.0,0.025,2m,0.8,0.5,1.5,832.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,720.0,0.025,4m,0.6,1.0,1.5,784.0,,,,,,,,,,,,,,,672.0,0.05,4m,1.0,0.6,1.5,776.0,,,,,,,,608.0,0.05,2m,0.9,1.0,1.5,472.0,,,,,,,,0.4,4,COMPLETE
7,7,-3.1567002055728333,2025-06-21 00:56:07.884485,2025-06-21 00:56:08.682738,0 days 00:00:00.798253,264.0,0.025,5m,0.9,0.5,2.0,240.0,392.0,0.05,7m,0.5,0.9,1.5,104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,624.0,0.025,8m,0.8,0.9,1.5,528.0,992.0,0.025,2m,0.9,0.9,1.5,720.0,,,,,,,,,,,,,,,,,,,,,,0.3,4,COMPLETE
8,8,-2.8488589090632996,2025-06-21 00:56:08.714274,2025-06-21 00:56:09.143825,0 days 00:00:00.429551,,,,,,,,704.0,0.05,7m,0.5,0.7,3.0,256.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,944.0,0.05,3m,1.0,0.9,2.0,960.0,,,,,,,,,,,,,,,0.3,2,COMPLETE
9,9,-11.017923321162934,2025-06-21 00:56:09.171547,2025-06-21 00:56:10.609495,0 days 00:00:01.437948,264.0,0.025,6m,0.6,0.7,1.5,536.0,,,,,,,,560.0,0.025,4m,0.5,0.6,2.0,528.0,,,,,,,,584.0,0.025,1m,0.9,0.6,1.5,744.0,976.0,0.05,10m,0.6,0.7,3.0,280.0,,,,,,,,,,,,,,,,,,,,,,952.0,0.05,1m,0.6,0.5,3.0,496.0,,,,,,,,344.0,0.025,10m,0.6,0.7,2.0,40.0,312.0,0.025,8m,0.8,0.6,2.5,792.0,0.1,7,COMPLETE
